"1": "νιώθω μία ευχαρίστηση",
"2": "τι ωραία που είναι όλα!",
"3": "η εμπειρία μας από την περιήγηση στο χώρο είναι καθόλα έντονη ", 
"4": "αυτό που αισθάνθηκε βλέποντας το έργο ήταν μία έντονη επιθυμία για δημιουργία και έμπνευση", 
"5": "χαρούμενη", 
"6": "τι ωραία που είναι εδώ!", 
"7": "κάναμε την βόλτα μας γύρω από τα κεντρικά σημεία της Αθήνας", 
"8": "η εμπειρία μας από την περιήγηση στην Αθήνα, ήταν καθόλα αναζωογωνητική ", 
"9": "αυτό που μου άρεσε περισσότερο ήταν οι γραφικές συνοικίες της Αθήνας", 
"10": "τα συναισθήματα που μου προκάλεσε το εν λόγω έργο ήταν μία αναπόληση του παρελθόντος και συγκίνηση", 
"11": "είμαι έξαλλη γιατί βρέχει", 
"12": "τι παραπάνω να περιμενει κανεις απο την βολτα του στην αθηνα; μονο ευχαριστηση και ικανοποιηση!", 
"13": "το μεγαλυτερο ατου αυτης της πολης; μα φυσικα η ιστορικές διαδρομες και το μουσειο της ακροπολης", 
"14": "Παναθηναϊκάρα μου σε λατρεύω!", 
"15": "πήγαμε σε ενα παρτυ και ηταν φανταστικα", 
"16": "η βολτα στην ακροπολη αποτελεσε μια συγκλονιστικη εμπειρια για εμας", 
"17": "τι να πρωτοπει καποιος για αυτα που μπορει να δει στην αθηνα; ", 
"18": "βλεποντας την σταδιακη αποσυνθεση μνημειων παγκοσμιας πολιτισμικης κληρονομιας, μονο λυπη και αγανακτιση μπορω να νιωσω", 
"19": "περναμε τελεια", 
"20": "συγκλονιστικη εμπειρια", 
"21": "στα σιγουρα η υπαρξη πολλων καλλιτεχνικων δρωμενων αποτελει ενα πλεονεκτημα και πόλο έλξης ", 
"22": "η αστικη εμπειρια αποτελει πηγη εμπνευσης και δημιουργιας ", 
"23": "συγκινησιακη φορτιση", 
"24": "ειναι εξαιρετικα ενοχλητικη η υπαρξη της περιβαλλοντικης μολυνσης", 
"25": "χαρουμενη ωρα", 
"26": "στο τελος , τελος τι ειναι η ευτυχια και μας ζητατε να την περιγραψουμε;", 
"27": "φυσικα και θα ηθελα να ζησω περισσοτερες μερες εδω περα ", 
"28": "ανθρωποι κοιμουνται σε χαρτοκουτα, η καταθλιψη ζωγραφισμενη στα πρόσωπά τους", 
